"description","id","user_id","district_id","advertiser_type","params.furniture","params.price1","params.price2","params.builttype","params.m","params.rooms","params.rent","external_id","last_refresh","wolna"
"Mieszkanie znajduje się na ul.Górki na Górczynie na 1 piętrze w bloku z 2002r z windą. 
Mieszkanie umeblowane i składa się z:
• jednego pokoju z wnęką kuchenną (lodówka,piekarnik z płytą elektryczną,),
• korytarza (wieszak, duża szafa,regał z lustrem)
• łazienki z wanna, pralką
• duży balkon
Pokój jest wyposażony w rozkładaną sofę, szafę, regał,komodę, stolik kawowy, stolik barowy z krzesłami,dywan
W pobliżu znajdują się sklep spożywczy, pizzeria,
siłownia, przystanek autobusowy i tramwajowy,
dojazd do centrum około 5 min.
Możliwość podłączenia Internetu we własnym zakresie.

Wynajem od zaraz.
Cena wynajmu 1100,00 zł
Kaucja w wysokości 1500,00 zł
Dodatkowo należy doliczyć czynsz administracyjny ok. 420,00 zł (ogrzewanie, woda,śmieci...)
i rachunek za prąd według zużycia.

Oferta skierowana do polskiego studenta (mężczyzny) .",577024620,32619171,697,"private","yes","price",1100,"blok",28.2,"one",420,NA,2020-01-02 14:08:05,FALSE
"Kawalerka z aneksem kuchennym. Nowa, umeblowana z ładnym widokiem. Mieszkanie znajduję się na ul. Górna Wilda / Różana.
W mieszkaniu internet. Możliwość wynajęcia miejsca w hali garażowej.
Mieszkanie wyposażone w: automat, zmywarka, talerze, szklanki, kubki, ekspres do kawy. Brak piekarnika.
Bardzo blisko do Starego Browaru.
Dodatkowa opłata 109 zł za internet i tv.
Kaucja 1500 zł.
Możliwość wynajmu miejsca postojowego w hali garażowej (200 zł )",577082565,30016361,331,"private","yes","price",1500,"blok",29,"one",290,NA,2020-01-02 18:27:49,FALSE
"Witam, 

od lutego zwalniam piękną kawalerkę 31 m2, mieszcząca się przy Rynku Łazarskim.

Aneks kuchenny z salonem i balkonem wyposażone w lodówkę, mikrofalówkę, płytę indukcyjną, kanapę, komodę, piękną szafę z dużym lustrem, szafkę na buty, krzesła, lampę oraz 2 stoliki. 
Łazienka z toaletą, pralką oraz prysznicem oraz dwoma szafkami. 

Jestem pierwszą osobą wynajmującą. Przed wprowadzeniem mieszkanie przeszło generalny remont, stąd też wszystko wygląda jak nowe :)
W czerwcu były wymienione okna. 

Opłaty: 1900 zł (czynsz + opłaty administracyjne).
Dostęp do internetu gratis! :) 

Dogodna lokalizacja, w pobliżu sklepy Żabki, Netto, piekarnia Zagrodnicza (polecam :)), apteka, drogiera Rossmann, rynek łazarski 2 minuty pieszo.
Do przystanku tramwajowego dosłownie 1 minutka.
Linie tramwajowe: 3, 5, 8, 11, 14.

W gratisie sympatyczni sąsiedzi i bezproblemowy właściciel. 

Kaucja zwrotna: 2000 zł. 

Gorąco polecam i zapraszam do kontaktu! :)",577099895,101510819,703,"private","yes","price",1480,"kamienica",31,"one",420,NA,2020-01-02 19:45:35,FALSE
"Wynajmę ładne wyremontowane i zadbane mieszkanie - kawalerkę o powierzchni 36 m2 z balkonem na 15- stym piętrze w apartamentowcu Chartowo Tower na Ratajach.

Mieszkanie znajduje się w świetnej lokalizacji przy ul. Chartowo dosłownie 1 minutę od przystanku tramwajowego (linie 5, 16, 17, 18 oraz nocna linia 201) i autobusowego (linie 55, 66, 81, 92 oraz nocna linia 232), 8 min. tramwajem do centrum. Mieszkanie jest na 15-tym piętrze z pięknym widokiem na różne części miasta, blok zaopatrzony jest w windę oraz ochronę. W budynku znajdują się podziemne miejsca postojowe do wynajęcia, w pobliżu wiele sklepów, apteki, poczta, przedszkola, żłobki, park. Do Jeziora Maltańskiego ok. 8 minut pieszo.

Mieszkanie jest wyremontowane i zadbane. Składa się z pokoju dziennego z ukrytym aneksem kuchennym, łazienki oraz małego przedpokoju. Jest również umeblowane (jak na zdjęciach: meble kuchenne, meble w pokoju dziennym, sofa – bardzo wygodna do spania dla 2-óch osób, stół z 2-oma krzesłami i stolik kawowy), zaopatrzone w nową pralkę, telewizor, lodówkę, odkurzacz, mikrofalówkę, deskę do prasowania i żelazko, piekarnik oraz płytę indukcyjną. Cała podłoga wyłożona jest płytkami. Mieszkanie jest bardzo jasne z powodu bardzo dużych okien i drzwi balkonowych.

Miesięczny koszt najmu to 1.200 zł + ok. 500 zł czynszu do wspólnoty mieszkaniowej (w tym woda, ogrzewanie) + prąd co 2 miesiące. Wymagana jest 2-miesięczna kaucja zwrotna (może być płatna w ratach).

Mieszkanie dostępne jest od zaraz – wynajem bez pośredników!
UWAGA: Mieszkanie nie jest przeznaczone dla studentów, ale dla niepalącej pary bez zwierząt.

Zapraszam do kontaktu po godzinie 16:00! 
tel. 607-543-582",577124189,20117209,761,"private","yes","price",1200,"apartamentowiec",36,"one",500,NA,2020-01-02 21:42:07,FALSE
"Polecam ładną i jasną kawalerkę na bocznej uliczce na Łazarzu.
Koszt łaczny 1200zł plus woda i prąd wg liczników.
Ogrzewanie gazowe w cenie!
Kaucja miesieczna 1200 zł

Kontakt 602-538-482",577158996,8793665,703,"private","yes","price",1000,"kamienica",20,"one",200,NA,2020-01-03 09:41:28,FALSE
"Wynajmę bardzo ładną kawalerkę  na parterze kamiency.

Łącznie 1300 zł plus woda i prąd wg liczników.

Ogrzewanie gazowe w cenie!

Kaucja miesięczna 1300 zł

Zapraszam do oglądania 602-538482",577159650,8793665,703,"business","yes","price",1000,"kamienica",23,"one",300,NA,2020-01-03 09:47:12,FALSE
"UWAGA!
Do dnia 24.01 włącznie przebywam na wyjeździe. Możliwość oglądania ze mną po tym terminie:) W sprawach pilnych proszę o kontakt do koleżanki Marty - +48 605 936 587.
UWAGA! 

Witam serdecznie,
nazywam się Agata i wynajmę - bezpośrednio - 1 lub 2 osobom kawalerkę. Mieszkanie 2 lata temu przeszło generalny remont absolutnie wszystkiego (rur, instalacji, ścian, podłóg, drzwi ogrzewania itd.).
Z założenia składało się z dwóch pokoi, jednak nowe, szerokie przejście sprawia, że funkcjonuje obecnie bardziej jak kawalerka z aneksowaną kuchnią. Mimo to, czuć tutaj rozdział przestrzeni, co na pewno sprawia większy komfort zamieszkiwania.

Okolica (Debiec, ul. Czechoslowacka) to spokojna dzielnica domków jednorodzinnych i niskich bloków, wśród których znajdziecie Państwo wszelkie potrzebne sklepy i lokale usługowe, (lidl, biedronka, apteka, kosmetyczka, fryzjer itd .). Dosłownie po drugiej stronie ulicy,  znajdują się przystanki autobusowe linii 71, 76, 49 a w 5 minut można dostać się do pętli tramwajowej (2, 9, 10).

Meble widoczne na zdjęciach niektóre zostały zmienione przez aktualnego najemcę, ale generalnie całość jest umeblowana i pozostaje do Państwa dyspozycji.

dostępne od około połowy stycznia.

Koszt miesięczny to: 1150zł najem + ok. 280 zł czynsz administracyjny  + zużycie prądu wg licznika.
Kaucja 1700 zl

Agata
606 244 713",577162187,12863313,331,"private","yes","price",1150,"kamienica",20,"one",280,NA,2020-01-03 10:04:47,FALSE
"Kawalerka dla nie wymagającego pracującego klienta lub klientki, w domku jednorodzinnym. Dodatkowe opłaty szambo 20 zl. Prąd licznik. śmieci.",577175789,34551185,723,"private","yes","price",800,"wolnostojacy",42,"one",100,NA,2020-01-03 11:17:12,FALSE
"BEZ PROWIZJI

Opis lokalu:	
Kawalerka przy ul. Taczaka 14 (centrum!)   
*Kamienica i mieszkanie po generalnym remoncie 
*Miejskie ogrzewanie = ciepłe mieszkanie 
*17,7 m2 
*1 piętro 
*Pełne wyposażenie i umeblowanie (pralka, lodówka, kuchenka, mikrofalówka) 
*Idealne dla 1-2 osób 

* A studio on ul. Taczaka 14 (center!) 
*The tenement house and the apartment after major renovation. 
*Municipal heating = warm apartment 
*17,7 m2 
*1st floor 
*Furnishings and equipment (washing machine, refrigerator, cooker, microwave) 
*Inevitable for 1-2 people

Umeblowanie/wyposażenie:	
Pokój z aneksem kuchennym: kanapa rozkładana, stolik z dwoma krzesłami, komoda, duża szafa, stolik szklany 
Aneks kuchenny: regały wiszące i stojące, lodówka, mikrofalówka, płyta ceramiczna 2 palniki 
Łazienka z WC: prysznic, pralka 

* 

Room with a kitchenette: sofa bed, table with two chairs, chest of drawers, large wardrobe, glass table 
Kitchenette: hanging and standing shelves, refrigerator, microwave, ceramic hob 2 burners 
Bathroom with WC: shower, washing machine

Zwierzęta domowe: NIE

Możliwość doposażenia mieszkania na koszt właściciela: NIE

Otoczenie: Apteka - 270 m, Bankomat - 180 m, Centrum handlowe - 450 m, Fryzjer - 230 m, Kawiarnia - 90 m, Park - 400 m, Poczta - 100 m, Przychodnia - 250 m, Restauracja - 90 m, Siłownia - 500 m, Sklep spożywczy - 140 m

Dojazd: Odległość do przystanku autobusowego - 250 m, Autobusy nr - 201,202,204, Odległość do przystanku tramwajowego - 250 m, Tramwaje - 2,5,9,13

Cena najmu: 1350 zł

Opłaty administracyjne: 280 zł/1 osoba; 380 zł/2 osoby;

Średnie opłaty za media: 40 zł/1 osoba; 60 zł/2 osoby;

Suma opłat: 1 670 zł/1 osoba; 1 790 zł/2 osoby;

WYMAGANA KAUCJA ZWROTNA.",577177879,45175103,327,"business","yes","price",1350,"kamienica",18,"two",280,NA,2020-01-17 10:29:40,FALSE
"BEZ PROWIZJI

Opis lokalu:	
Mieszkanie os. Zwycięstwa 19, świetna lokalizacja - blisko centrum handlowego Plaza   
* Blok 
* Miejskie ogrzewanie = ciepłe mieszkanie 
* 32 m2 
* 9 piętro, w budynku winda 
* Pełne wyposażenie i umeblowanie (pralka, lodówka, kuchenka) 
* Idealne dla 1-2 osób 
* Dostępne od zaraz! 

* 

The flat at os. Zwycięstwa 19, great location - close to Plaza shopping centre 
* Block 
* City heating = warm apartment 
* 32 m2 
* 9th floor, in the building elevator 
* Fully equipped and furnished (washing machine, refrigerator, cooker) 
* Ideal for 1-2 people 
* Available from now on!

Umeblowanie/wyposażenie:	
Kuchnia: lodówka, kuchenka gazowa, szafki, stolik z krzesłem 
Łazienka z WC: wanna, pralka, umywalka, szafki 
Pokój: dwie kanapy nierozkładane z funkcją przechowywania, stolik, duża szafa przesuwna, lampa stojąca 

* 
Kitchen: fridge, gas cooker, cabinets, table and chair 
Bathroom with WC: bathtub, washing machine, washbasin, cabinets 
Room: two unfolded sofas with storage function, table, large sliding cabinet, standing lamp

Zwierzęta domowe: TAK z zastrzeżeniem

Możliwość doposażenia mieszkania na koszt właściciela: NIE

Otoczenie: Apteka - 150 m, Centrum handlowe - 500 m, Fryzjer - 80 m, Liceum - 1 300 m, Park - 700 m, Poczta - 120 m, Przychodnia - 300 m, Restauracja - 150 m, Siłownia - 600 m, Sklep spożywczy - 150 m

Dojazd: Odległość do przystanku autobusowego - 300 m, Autobusy nr - 168, 170, 178, 183, 191 , 171 , Odległość do przystanku tramwajowego - 350 m, Tramwaje - 12,14,15,16,201,204

Cena najmu: 1100 zł

Opłaty administracyjne: 400 zł/1 osoba; 550 zł/2 osoby;

Średnie opłaty za media: 70 zł/1 osoba; 100 zł/2 osoby;

Suma opłat: 1 570 zł/1 osoba; 1 750 zł/2 osoby;

WYMAGANA KAUCJA ZWROTNA.",577200891,45175103,727,"business","yes","price",1100,"blok",32,"one",400,NA,2020-01-17 10:31:43,FALSE
"Wynajmę kawalerkę w Poznaniu na Oś. Lecha. Kuchnia, korytarz, łazienka i pokój. 
W czynsz jest wliczona woda, ogrzewanie i  wywóz śmieci. 
Opłaty za prąd i gaz według zużycia. 
Kuchnia jest umeblowana. 
Wymagana kaucja 1500 zł.
Tel. 516475914",577205916,14943121,761,"private","no","price",1100,"blok",31,"one",500,NA,2020-01-03 13:35:53,FALSE
"Polecam do wynajęcia w pełni wyposażoną, komfortową kawalerkę w kamienicy przy ul. Bukowskiej 21 w Poznaniu.
 
Mieszkanie znajduje się na wysokim parterze od strony dziedzińca w czteropiętrowej zrewitalizowanej kamienicy z windą. Jest świeżo wyremontowane, całkowicie umeblowane i wyposażone, o łącznej powierzchni 30 m2. Mieszkanie składa się z dużego pokoju (23,71 m2) połączonego z aneksem kuchennym i sypialnią, łazienki (3,26 m2) oraz dużego balkonu (4,5 m2).
 
Koszty:
- czynsz miesięczny - 2000 zł
- opłaty administracyjne - 340 zł
- TV + Internet - 50 zł
- prąd wg liczników
- jednorazowa kaucja: 2500 zł
 
Dodatkowo możliwość wynajęcia:
- miejsca postojowego na zamkniętym dziedzińcu - 150 zł. 
- komórki lokatorskiej/piwnicy – 100 zł
 
Wolne od zaraz, bez pośredników. Możliwość wystawienia faktury VAT.
 
Komunikacja
Łatwy dostęp do infrastruktury i sieci komunikacji miejskiej. Przystanki tramwajowe i autobusowe. Niewielka odległość do Dworca PKP, Dworca Autobusowego oraz Lotniska.
 
Okolica
- Obok Rynku Jeżyckiego, Międzynarodowych Tragów Poznańskich, Akademii Medycznej, nieopodal Uniwersytetu im. Adama Mickiewicza, niedaleko Uniwersytetu Ekonomicznego.
- Wiele restauracji i kawiarni.
- Kino Rialto, Teatr Nowy, Opera, Centrum Kultury Amarant, Concordia Design.
- Bezpośrednie sąsiedztwo z terenami zielonymi Poznańskiego Ogrodu Zoologicznego. Niedaleko Parku Sołackiego, Jeziora Rusałka, Parku Wieniawskiego.

 ",577206446,21117567,325,"private","yes","price",2000,"kamienica",30,"one",NA,60075408,2020-01-03 13:36:05,FALSE
"Słoneczna, kawalerka z widokiem na dziedziniec kamienicy. Przestronny, jasny pokój z aneksem kuchennym. W pomieszczeniu znajduje się rozkładana, dwuosobowa sofa, stolik kawowy z dwoma fotelami, szafa dwudrzwiowa i 2 regały. W kuchni natomiast lodówka oraz płyta grzewcza. Zaraz przy drzwiach wejściowych znajduje się dwudrzwiowa szafa i komoda. Łazienka z prysznicem oraz pralką.

Kawalerka jest dostępna od zaraz

Rozliczenie na 1 osobę:
Najem: 1190 zł
Woda: 62,21 zł
Śmieci: 30 zł
Ogrzewanie: 100,67 zł
Domofon: 5,00 zł
Wody opadowe: 15 zł
Suma: ok. 1403 zł
Suma 2 osoby: ok. 1495 zł

Kaucja płatna (czynsz plus opłaty). Dodatkowo płatny jest tylko prąd co 2 miesiące wg zużycia.

Mieszkanie idealne dla par i studentów.",577207941,20896697,703,"business","yes","price",1190,"kamienica",29,"one",1,NA,2020-01-17 13:59:50,FALSE
"Mieszkanie idealne dla pary lub singla! 

Polecam do wynajęcia bardzo ładną, w pełni umeblowaną kawalerkę w nowszym bloku przy ulicy Naramowickiej 37 (skrzyżowanie z Serbską). Mieszkanie na zadbanym, zamkniętym osiedlu. Duża kawalerka o powierzchni 35m2. Pokój dzienny połączony z aneksem kuchennym, na wyposażeniu duża lodówko-zamrażarka, piekarnik, płyta ceramiczna. W pokoju pełne umeblowanie. Łazienka w ładnych płytkach, kabina prysznicowa, pralka. W korytarzu szafa typu komandor. Z pokoju wyjście na balkon z widokiem na zieleń.

Koszt najmu 1200 zl + 455 zł czynsz (w tym zaliczki na ogrzewanie i wodę) + prąd.

Istnieje możliwość wynajęcia zamykanego miejsca postojowego w hali garażowej, pod budynkiem.

Mieszkanie wolne od 1.02, można oglądać wcześniej.

Chcesz zobaczyć to mieszkanie? Zadzwoń teraz i umów się na spotkanie.

Agent odpowiedzialny za ofertę, licencja nr 569. Kontakt Marta Grzybek 501 741 688

Więcej ofert ładnych i zadbanych mieszkań do wynajęcia na naszej stronie www.welcome-nieruchomosci.pl/mieszkania-wynajem

WELCOME Nieruchomości, ul. Starowiejska 1e/2, 61-664 Poznań",577235772,484425,727,"business","yes","price",1200,"blok",35,"one",455,NA,2020-01-03 15:06:37,FALSE
"BEZ PROWIZJI

MIESZKANIE BĘDZIE DOSTĘPNE OD 1 LUTEGO! 

Opis lokalu:	
Przytulna i nowocześnie urządzona kawalerka w sercu poznańskich Jeżyc. Mieszkanie jest świeżo po remoncie, zostało wykończone według najwyższych standardów. Składa się z pokoju, korytarza, kuchni oraz łazienki. Do mieszkania przynależy piwnica. Mieszkanie znajduje się w pięknej kamienicy świeżo po rewitalizacji. Świetna lokalizacja- rozbudowana sieć komunikacji miejskiej pozwala w szybki sposób dostać się w każdy punkt Poznania. W bliskim sąsiedztwie dużo uczelni (m.in. UAM, UP), restauracje, kawiarnie i sklepy. 

* A cosy and modernly furnished studio apartment in the heart of Poznan's Jeżyce. The apartment is freshly renovated and has been finished to the highest standards. It consists of a room, hallway, kitchen and bathroom. The apartment has a basement. The apartment is located in a beautiful tenement house freshly revitalized. Great location - an extensive network of public transport allows you to quickly get to any point in Poznań. In the close vicinity of many universities (e. g. UAM, UP), restaurants, cafés and shops. THE APARTMENT WILL BE AVAILABLE FROM 1 FEBRUARY!

Umeblowanie/wyposażenie:	
W pokoju znajduje się rozkładana kanapa, stolik, 2 regały, komoda i szafa. Kuchnia jest wyposażona w szafki, rozkładany stolik z taboretami, płytę elektryczną, piekarnik, pralkę, okap oraz lodówkę. W łazience WC, umywalka oraz prysznic. 

* The room has a sofa bed, a table, 2 shelves, a chest of drawers and a closet. The kitchen is equipped with cabinets, a fold-out table with stools, electric hob, oven, washing machine, hood and refrigerator. In the bathroom toilet, sink and shower.

Zwierzęta domowe: NIE

Możliwość doposażenia mieszkania na koszt właściciela: NIE

Otoczenie: Apteka - 500 m, Bankomat - 200 m, Centrum handlowe - 2 000 m, Fryzjer - 400 m, Jezioro - 2 000 m, Kawiarnia - 150 m, Park - 500 m, Poczta - 800 m, Pralnia - 800 m, Przychodnia - 200 m, Restauracja - 100 m, Siłownia - 500 m, Sklep spożywczy - 200 m, SPA - 1 800 m, Szpital - 300 m

Dojazd: Odległość do przystanku autobusowego - 200 m, Autobusy nr - 64, 236, 239, 246, Odległość do przystanku tramwajowego - 200 m, Tramwaje - 2, 3, 17, 18, Odległość od lotniska - 5 600 m, Odległość od stacji PKP - 2 000 m, Odległość do dworca autobusowego - 2 000 m

Cena najmu: 1290 zł

Opłaty administracyjne: 380 zł/1 osoba; 550 zł/2 osoby;

Średnie opłaty za media: 60 zł/1 osoba; 90 zł/2 osoby;

Suma opłat: 1 730 zł/1 osoba; 1 930 zł/2 osoby;

WYMAGANA KAUCJA ZWROTNA.",577252834,45175103,325,"business","yes","price",1290,"kamienica",24,"one",380,NA,2020-01-17 10:34:42,FALSE
"Do wynajęcia komfortowa kawalerka Ataner w apartamentowcu na osiedlu zielonym zamkniętym strzeżonym,blisko centrum.",577282920,16334349,705,"business","yes","price",1200,"apartamentowiec",40,"one",400,NA,2020-01-17 12:32:42,FALSE
"Nowe mieszkanie na wynajem czeka na pierwszego użytkownika. Znajduje się w bardzo atrakcyjnej lokalizacji: przy ul. 23 Lutego Poznań. Kamienica po całkowitej rewitalizacji. Nowy dach, nowe instalacje: wodna, elektryczna, kanalizacyjna i cieplna. Mieszkanie zostało wyposażone od podstaw na podstawie projektu wykonanego przez specjalistę od wyposażenia wnętrz. Powierzchnia - 25 m2, na drugim piętrze (winda), z aneksem kuchennym i łazienką. Wyposażenie premium, nowe sprzęty: narożnik, stół, krzesła, aneks kuchenny (zlewozmywak, lodówka, zmywarka, płyta indukcyjna), łazienka (kabina prysznicowa, umywalka, toaleta). Ogrzewanie: cieplik miejski. W odległości ok. 200 m (3 minuty) przystanek tramwajowy, do Starego Rynku ok. 7 minut.",577296966,43472731,327,"private","yes","price",1500,"kamienica",25,"one",300,NA,2020-01-03 19:36:17,FALSE
