"","Description","Individual","District","RemoteId","ID","Price","Area","FlatDetails.RoomsNum","FlatDetails.Furnished","FlatDetails.Rent","FlatDetails.PriceIncludeRent","FlatDetails.Deposit","point","SellerInfo.ID","Title"
"11","Do wynajęcia:
Świeżo wyremontowana kawalerka z użytkowym aneksem kuchennym oraz łazienką. Idealna dla studenta pragnącego spokoju lub osoby pracującej. Bezprowizyjnie!

Wyposażenie kawalerki:

Meble (fotel, stolik, łóżko, szafka, lodówka).
Przygotowane miejsca pod TV i NET (INEA kablem koncentrycznym oraz dodatkowo wyprowadzony światłowód, Internet w cenie). 
Aneks kuchenny z płytą grzewczą, zlewem, blatem roboczym, szafkami.
Łazienka wyposażona w WC, prysznic, szafkę, lustro oraz umywalkę.
Mieszkanie ogrzewane nowoczesną oraz tanią w utrzymaniu technologią grzewczą CALEO Premium by BVF Heating Solutions co pozwala na samodzielne i dokładne sterowanie ogrzewaniem.  

Woda ciepła pochodzi z nowoczesnej, energooszczędnej grzałki elektrycznej klasy A+, co zapewnia duże bezpieczeństwo oraz niskie koszty ogrzewania wody. 

Brama wjazdowa wraz z głównymi drzwiami na kod oraz brelok magnetyczny. 

LOKALIZACJA: Ul. Głogowska 43 naprzeciwko Parku Wilsona

Piętro: Parter

 Komunikacja: 
-Tramwaje linii nr 3, 5, 8, 11, 14, 16, 17, 18, 201,
-Autobus linii nr 252, 249.

W okolicy:

-strefa bezpłatnego parkowania,
-500 m do Miedzynarodowych Targów Poznańskich,
-500m do Dworca PKP,
-50 m do Parku Wilsona,
-700 m do Centrum Handlowego AVENIDA,
-200 m do sklepu Biedronka,
-300m do Palmiarni Poznańskiej,
-900m City Park Wojskowa.

W okolicy wiele bardzo dobrych obiektów gastronomicznych oraz rozrywkowych(Winiarnia Barrio, Parma&amp;Rukola, Projekt Wilson, Dżungla, Cafe Przymiarka, Masz Babo Placek, Kuchnia PoWolność, restauracje w kompleksie City Park).

Kwota najmu to 1300 zł, czynsz administracyjny to 329,34 zł. Opłaty eksploatacyjne czyli prąd co dwa miesiące rozliczane według indywidualnego zużycia licznikowego, co miesiąc 100 zł zaliczki na wyżej wymienione opłaty. Razem 1730 zł

 
Pytania dotyczące nieruchomości prosimy kierować do pośrednika prowadzącego:

Piedesta Nieruchomości
Hubert Górny
727-932-122

Niniejsze ogłoszenie jest wyłącznie informacją handlową i nie stanowi oferty w myśl art. 66, § 1. Kodeksu Cywilnego. Sprzedający/pośrednik nie odpowiada za ewentualne błędy lub nieaktualność ogłoszenia.","FALSE","462",NA,"60082280","1299","21","1","TRUE","430","FALSE","1730",360,"4836596","Kawalerka przy Dworcu Głównym i MTP ul. Głogowska"
"12","Do wynajęcia:
Świeżo wyremontowana kawalerka z użytkowym aneksem kuchennym oraz łazienką. Idealna dla studenta pragnącego spokoju lub osoby pracującej. Bezprowizyjnie!

Wyposażenie kawalerki:

Meble (fotel, stolik, łóżko, szafka, lodówka).
Przygotowane miejsca pod TV i NET (INEA kablem koncentrycznym oraz dodatkowo wyprowadzony światłowód, Internet w cenie). 
Aneks kuchenny z płytą grzewczą, zlewem, blatem roboczym, szafkami.
Łazienka wyposażona w WC, prysznic, szafkę, lustro oraz umywalkę.
Mieszkanie ogrzewane nowoczesną oraz tanią w utrzymaniu technologią grzewczą CALEO Premium by BVF Heating Solutions co pozwala na samodzielne i dokładne sterowanie ogrzewaniem.  

Woda ciepła pochodzi z nowoczesnej, energooszczędnej grzałki elektrycznej klasy A+, co zapewnia duże bezpieczeństwo oraz niskie koszty ogrzewania wody. 

Brama wjazdowa wraz z głównymi drzwiami na kod oraz brelok magnetyczny. 

LOKALIZACJA: Ul. Głogowska 43 naprzeciwko Parku Wilsona

Piętro: Parter

 Komunikacja: 
-Tramwaje linii nr 3, 5, 8, 11, 14, 16, 17, 18, 201,
-Autobus linii nr 252, 249.

W okolicy:

-strefa bezpłatnego parkowania,
-500 m do Miedzynarodowych Targów Poznańskich,
-500m do Dworca PKP,
-50 m do Parku Wilsona,
-700 m do Centrum Handlowego AVENIDA,
-200 m do sklepu Biedronka,
-300m do Palmiarni Poznańskiej,
-900m City Park Wojskowa.

W okolicy wiele bardzo dobrych obiektów gastronomicznych oraz rozrywkowych(Winiarnia Barrio, Parma&amp;Rukola, Projekt Wilson, Dżungla, Cafe Przymiarka, Masz Babo Placek, Kuchnia PoWolność, restauracje w kompleksie City Park).

Kwota najmu to 1200 zł, czynsz administracyjny to 329,34 zł. Opłaty eksploatacyjne czyli prąd co dwa miesiące rozliczane według indywidualnego zużycia licznikowego, co miesiąc 100 zł zaliczki na wyżej wymienione opłaty. Razem 1630 zł

 
Pytania dotyczące nieruchomości prosimy kierować do pośrednika prowadzącego:

Piedesta Nieruchomości
Hubert Górny
727-932-122

Niniejsze ogłoszenie jest wyłącznie informacją handlową i nie stanowi oferty w myśl art. 66, § 1. Kodeksu Cywilnego. Sprzedający/pośrednik nie odpowiada za ewentualne błędy lub nieaktualność ogłoszenia.","FALSE","462",NA,"60082327","1199","20","1","TRUE","430","FALSE","1630",360,"4836596","Kawalerka przy Dworcu Głównym i MTP ul. Głogowska"
"13","Wynajmę kawalerkę przy ul. Marcelińskiej 94/90
Koszty najmu 1800 zł + rachunki (czynsz 325 zł + internet 60 zł)
Wolna od 15 stycznia 2020r.
W pełni wyposażona.
Blok Ataner, winda

Osoby zainteresowane proszę o kontakt tel. 504 496 594","FALSE","462",NA,"60083277","1800","31.2","1","TRUE","385","FALSE","2000",360,"903428","Kawalerka ul. Marcelińska, Ataner"
"14","Wynajmę kawalerkę przy. ul. Bukowskiej 76/20
koszt najmu 1800 zł + czynsz 286 zł+ internet 60 zł
-oddzielna kuchnia
-aktualnie w trakcie remontu
-wolna od 15 stycznia 2020r.
-w pełni wyposażona
-parking dla mieszkańców
-winda
Zainteresowanych proszę o kontakt telefoniczny 504 496 594. Wyślę więcej zdjęć.","FALSE","462",NA,"60083385","1800","31.5","1","TRUE","346","FALSE","2000",360,"903428","Kawalerka, ul. Bukowska , Ataner"
"15","Polecamy na wynajem kawalerkę. Wyposażenie: meble jak na zdjęciu, w tym pralka, zmywarka, piekarnik, lodówka. Wszystko nowe.
Druga linia zabudowy - ciche otoczenie.
Parking zamykany przypisany do budynku, brak wyznaczonego miejsca parkingowego.
Bardzo jasna.
Balkon.","TRUE","462",NA,"60083869","1700","31","1","FALSE","250","FALSE","2000",360,"2555448","Kawalerka ul. Piątkowska"
"16","Atrakcyjne mieszkanie, kawalerka 32 m2, położona na 15 piętrze w wysokim bloku na os. Zwycięstwa. Mieszkanie częściowo umeblowane w zakresie widocznym na zdjęciach, nie wymaga nakładów gotowe do zamieszkania. Całkowicie umeblowana i wyposażona kuchnia, w korytarzu szafa w zabudowie, w łazience wanna, nowa pralka, z pokoju wyjście na balkon.Bardzo ciepłe i słoneczne.Doskonała lokalizacja, pełna infrastruktura, bardzo dobra komunikacja z centrum miasta.Czynsz w wysokości 420 zł Cena wynajmu 1250 zł Dodatkowo płatny prąd i gaz wg.zużycia.Kaucja zwrotna w wysokości 2600 zł Kontakt i prezentacja Michał Dola tel. 600 372 800Powyższa oferta nie stanowi oferty w rozumieniu Kodeksu cywilnego.","FALSE","462",NA,"60085042","1250","32","1","TRUE","420","FALSE","2600",360,"4056316","Winogrady kawalerka 32m2 os. Zwycięstwa"
"17","REZERWACJA Kawalerka na wynajem Poznań Centrum luksusowa z balkonem, przy ul. Niedziałkowskiego 24II piętro w budynku z 2017 roku z windą oraz z miejscem postojowym na dziedzińcu.Najemca otrzyma do użytku wyposażone luksusowe mieszkanie w apartamentowcu z ochroną.Styl klasycznie nowoczesnyPodstawowe informacje:powierzchnia przeznaczona pod wynajem 30 mkw jest rozplanowana następującopokój dzienny – 20 mkw mieści mini jadalnię i strefę wypoczynkową z TV, żaluzjeaneks kuchenny- 5 mkw pomysłowo oddzielony od strefy dziennej – wyposażenie: zmywarka, piekarnik, płyta grzejna, szafkiłazienka – 4 mkw z prysznicem oraz pralkąhol mini z wieszakami na ubraniabalkon typu loggiawidok z okien wprost na park Drwęskich – jest tu zaskakująco cicho, a przecież Górna Wilda to centrum miasta.Otoczenie :samo centrum to urodzaj punktów usługowo – handlowych o bogatym asortymencie, doskonała komunikacjaspacerem 5 minut do Starego Browaru potem do Rynku z Koziołkami.przystanki komunikacji miejskiej ul. Królowej Jadwigi, Most Dworcowy, Kaponieraport lotniczy ŁAWICA ok. 4 kmPKP z Galerią AVENIDA – ok.500 mOpłaty :czynsz najmu 1800 złopłaty administracyjne ok. 120 zł + media wg zużycia (prąd, woda, ścieki, ogrzewanie)miejsce parkingowe w ceniewysokość kaucji do uzgodnieniaZadzwoń i umów się na prezentację – kawalerka wolna od ręki.W przypadku tej oferty wynagrodzenie naszego biura pokrywa właściciel nieruchomości. ","FALSE","462","140/3953/OMW","60085284","1800","30","1","FALSE","0","FALSE","0",360,"108495","Rezerwacja - Kawalerka Poznań obok Starego Browaru"
"18","Przedstawiam Państwu ofertę wynajmu przytulnej kawalerki na os. Piastowskim / Rondo Rataje (10min od centrum Poznania). Kawalerka mieści się na wysokim parterze i jest w pełni wyposażona.
Do mieszkania przynależy piwnica.
 
Na 25m2 składa się: pokój, osobna kuchnia, łazienka i przedpokój.
Pokój – rozkładana kanapa, duża szafa przesuwna, stolik kawowy, krzesła.
Kuchnia – lodówka z zamrażarką, kuchenka gazowa z pochłaniaczem, mikrofalówka, zabudowa kuchenna.
Łazienka – wanna z prysznicem, umywalka, lustro.
Przedpokój – szafa z lustrem, wieszaki.
 
Lokalizacja:
Mieszkanie jest bardzo dobrze skomunikowane i znajduje się niedaleko jednego z głównych węzłów komunikacyjnych Poznania (Rondo Rataje). Kilkanaście przystanków autobusowych i tramwajowych(100-600m), Rondo Rataje i dworzec autobusowy (600m) - skąd pojedzmy w każdym kierunku miasta jak i poza jego granice. Stacja rowerów miejskich NextBike (500m), Rondo Śródka (3 przystanki), Wartostrada (2min rowerem), Centrum miasta/Stary Rynek (10min – komunikacją, rowerem, autem), AWF (3 przystanki), Politechnika (10min pieszo), Galeria POSNANIA (10min pieszo), Jezioro Maltańskie i tereny rekreacyjne (20min pieszo), Galeria Malta/Siłownia (20min pieszo), Termy Maltańskie (15min rowerem).
W najbliższej okolicy 3 stacje benzynowe, pasaż Rondo i Selgros, Żabka, Pizza Taxi, Biedronka, sklepy spożywcze, rynek, oraz liczne lokale handlowo-usługowe, klub bilardowy, restauracje, kawiarnie, piekarnia, cukiernia, kwiaciarnia, przychodnia, poczta, bankomaty, ksero, drogerie, apteka i wiele innych.
 
Informacje dodatkowe:
Czynsz najmu: 1300zł
Opłaty na rzecz wspólnoty: 315zł (w tym zaliczki na: opłaty administracyjne, woda, gaz ogrzewanie, wywóz śmieci)
Dodatkowo płatne:
- energia elektryczna co 2 miesiące wg zużycia (ok.70zł)
Możliwość podłączenia Internetu i Telewizji we własnym zakresie.
Kaucja zwrotna: 1500zł (możliwość rozłożenia na 2 raty)
Preferowany najem długoterminowy (minimum rok z możliwością przedłużenia)
Właściciel nie zgadza się na zwierzęta.
Forma: Umowa Najmu Okazjonalnego.
Jednorazowa prowizja dla biura.
 
Powyższe informacje nie stanowią oferty handlowej w rozumieniu art. 66, par. 1 Kodeksu Cywilnego.
Serdecznie zapraszam na prezentację!
Marcin Wrzyszcz
MARVIN Nieruchomości
501936625","FALSE","462",NA,"60085471","1300","25","1","TRUE","315","FALSE","1500",360,"2309246","Wyposażona Kawalerka - os. Piastowskie / R. Rataje"
"19","Koszt najmu: 900 zł + 300 zł opłaty stałe (w tym już jest ogrzewanie) + opłaty zmienne (śmieci 30 zł/osoba, prąd i woda wg. liczników - na 2 osoby ok. 120 zł, Internet 40 zł miesięcznie).Wymagana kaucja 1350 zł oraz prowizja dla biura.Kawalerka położona w nowej willi położona w bocznej ulicy przy ul. 28 czerwca 1956 r. Wyposażenie: aneks kuchenny z lodówką i płytą elektryczną, pokój z kanapą, szafą, stolikiem. Łazienka kabina prysznicowa i pralka. Wysoki standard wykończenia mieszkania i całego budynku. Domofon. Bardzo spokojna okolica. W pobliżu dużo sklepów. Bardzo dobry i szybki dojazd do centrum.Kontakt i prezentacja oferty: Agnieszka Trzebińskatel. 530 844 264","FALSE","462","1152960880","60085959","900","18","1","FALSE","0","FALSE","0",359,"1095095","Mieszkanie, 18 m², Poznań"
"20","Koszt najmu: 1000 zł + 300 zł opłaty stałe (w tym już jest ogrzewanie) + opłaty zmienne wg. liczników (śmieci, prąd i woda - na 2 osoby ok. 120 zł, Internet 40 zł miesięcznie).Wymagana kaucja 1450 zł oraz prowizja dla biura.Kawalerka położona w nowej willi położona w bocznej ulicy przy ul. 28 czerwca 1956 r. Wyposażenie: aneks kuchenny z lodówką i płytą elektryczną, pokój z kanapą, szafą, stolikiem. Łazienka kabina prysznicowa i pralka. Wysoki standard wykończenia mieszkania i całego budynku. Domofon. Bardzo spokojna okolica. W pobliżu dużo sklepów. Bardzo dobry i szybki dojazd do centrum.Kontakt i prezentacja oferty: Agnieszka Trzebińskatel. 530 844 264","FALSE","462","1152950880","60085961","1000","20","1","FALSE","0","FALSE","0",359,"1095095","Nowsza Kawalerka"
"21","Dzień dobry!Do wynajęcia kawalerka położona na Piątkowie, przy ulicy Opieńskiego, w nowszym budynku z windą.Rozkład i powierzchnia:-powierzchnia 33,58 m2;-pokój, oddzielna kuchnia, łazienka;-piąte piętro w budynku z windą.Zalety:-do dyspozycji Najemców duży taras!-mieszkanie częściowo wyposażone;-lokal położony w kilkuletnim budynku o ładnym standardzie.Lokalizacja:-w bezpośredniej bliskości pełna infrastruktura oraz przystanki komunikacji miejskiej (w tym popularna PeSTka, czyli Poznański Szybki Tramwaj);-niska zabudowa;-tereny zielone na wyciągnięcie ręki. Warunki wynajmu i kontakt:-1 250  zł / msc czynszu najmu dla właścicieli; ~350 zł opłat administracyjnych; dodatkowo prąd, internet.-wymagana jednorazowa prowizja za obsługę;-kaucja: 1600 zł-mieszkanie gotowe do objęcia od 10.01.2020 roku.Mateusz ZiętekPośrednik w obrocie nieruchomościamitel: 503 416 851, mail: .W razie pytań zapraszam do kontaktu: poniedziałek-piątek: 9-18; sobota: 10-14.Kategorie: mieszkanie na wynajem, Poznań, Piątkowo, Stare Miasto, kawalerka, oddzielna kuchnia, balkon, nowsze budownictwo, nowe, winda, ul. Mieszka I, ul. Opieńskiego. ","FALSE","462","48800868","60086587","1250","34","1","FALSE","0","FALSE","0",359,"59316","Wynajmę kawalerkę w fantastycznej lokalizacji"
"22","WYŁĄCZNOŚĆ 
Do wynajęcia kawalerka 35m2 -Tarasy Warty-apartamentowiec położony przy  ul.Na Miasteczku ,III piętro -windy.
Mieszkanie z balkonem ,duży pokój z aneksem kuchennym (zabudowa mebli kuchennych ,płyta ceramiczna,lodówka),łazienka z wc ,korytarz.Mieszkanie umeblowane (istnieje możliwość doposażenia mieszkania).Budynek objęty ochroną i monitoringiem. Możliwość wynajęcia od Wspólnoty Mieszkaniowej miejsca postojowego w podziemnej hali garażowej.
Umowa najmu okazjonalnego na czas określony jednego roku z możliwością przedłużania.
Bardzo dobra komunikacja w różne kierunki miasta Poznania ,w bliskiej odległości szkoły,sklepy,ścieżki rowerowe,itp.Mieszkanie może zostać również wynajęte na nieuciążliwą działalność gospodarczą.
Miesięczne koszty najmu :1200zł plus ok 300zł koszty eksploatacyjne w tym zaliczki na śmieci,wodę ,ścieki ,ogrzewanie ,100zł -zaliczka na prąd .
Kaucja: 1500zł 
Prowizja biura :1000zł netto 
Ofertę prowadzi :DN STILLER&amp;MILECKI
Agent prowadzący:Katarzyna Milecka
tel.509578339","FALSE","462",NA,"60086903","1200","35","1","TRUE","0","FALSE","0",359,"2101478","Kawalerka do wynajęcia, Tarasy Warty REZERWACJA"
"23","Kawalerka 20m2, w miejskiej willi  przy ul. Jarochowskiego  w Poznaniu.Spokojna okolica z dogodnym dostępem do komunikacji miejskiej. Sklep Lidl na przeciwko budynku.Składa się z pokoju połączonego z aneksem kuchennym oraz łazienki. Kuchnia w zabudowie, wyposażona w lodówkę, płytę grzewczą oraz pochłaniacz. W łazience kabina prysznicowa oraz pralka. Mieszkanie w pełni umeblowane. Idealna lokalizacja - niedaleko Centrum. W okolicy dworca PKP, parku Wilsona. W pobliżu przystanki tramwajowe. Poza strefą płatnego parkowania, parking przed budynkiem.Koszt najmu: 1100 zł z czynszem (ogrzewanie w cenie) + woda, śmieci oraz prąd.Wymagana zwrotna kaucja zabezpieczająca - 1250 zł.Biuro pobiera prowizje.Możliwość wprowadzenia do ustalenia.Zapraszam na prezentację.Serdecznie zapraszam na prezentację.Kontakt: Paczesny Nieruchomościtel. 602 584 287e-mail: Powyższy opis ma charakter informacyjny i nie stanowi oferty w rozumieniu przepisów art.66 Â§ 1. Kodeksu Cywilnego.ferty handlowej w myśl przepisów Kodeksu Cywilnego.","FALSE","462","24040403","60086941","1100","20","1","FALSE","0","FALSE","0",359,"915632","Kawalerka umeblowana willa miejska"
"24","Atrakcyjna kawalerka usytuowana w dzielnicy Grunwald w Poznaniu przy ul. Promienistej.Nowy budynek typu willa miejska.Składa się z pokoju połączonego z aneksem kuchennym, korytarza oraz łazienki.W pokoju nowe meble w zabudowie kuchennej, rozkładana sofa, pojemna szafa oraz stół z krzesłami.Kuchnia z lodówką oraz płytą grzewczą. W łazience kabina prysznicowa oraz pralka.Opłaty: 1300zł z czynszem ( ogrzewanie podłogowe wliczone w cene) + woda, śmieci oraz prąd.Termin wprowadzenia do ustalenia.Wymagana kaucja zwrotna - 1300 zł.Biuro pobiera prowizję.Doskonała komunikacja, pod budynkiem przystanki autobusowe. W pobliżu; liczne sklepy, apteka, szpital.Serdecznie zapraszam na prezentację.Kontakt: Paczesny Nieruchomościtel. 602 584 287e-mail: Powyższy opis ma charakter informacyjny i nie stanowi oferty w rozumieniu przepisów art.66 Â§ 1. Kodeksu Cywilnego.ferty handlowej w myśl przepisów Kodeksu Cywilnego.","FALSE","462","24020403","60086943","1000","23","1","FALSE","0","FALSE","0",359,"915632","Kawalerka z czynszem w cenie."
